用例编号,所属产品,所属模块,用例标题,前置条件,步骤,预期,结果,由谁创建,创建日期,修改日期
11597,WordPress(#13),探索式测试-岳哲伟(#364),（取消测试法）撰写的测试,成功登陆，打开设置一栏,"1. 打开撰写中默认文章形式的下拉列表不选择直接点击保存
","1. 可能会崩溃
",通过,岳哲伟,2018/12/21,0000-00-00
11596,WordPress(#13),探索式测试-岳哲伟(#364),（地标测试法）测试设置,成功登陆，打开设置一栏,"1. 在点击设置中的常规，再点击撰写，依次往后点，让界面不停的跳转
","1. 
",通过,岳哲伟,2018/12/21,0000-00-00
11595,WordPress(#13),探索式测试-岳哲伟(#364),（强迫症测试法）对设置中的固定链接中的自定义结构测试,成功登陆，打开设置一栏,"1. 点击固定链接中自定义结构中的可用标签从第一个依次点击到最后
2. 再从最后依次点击到第一个
3. 重复若干次
","1. 
2. 
3. 
",通过,岳哲伟,2018/12/21,0000-00-00
11594,WordPress(#13),探索式测试-岳哲伟(#364),（破坏测试法）设置中的固定链接的测试,成功登陆，打开设置一栏,"1. 固定链接的自定义结构填入upup
2. 在固定链接的自定义结构填入%upup%
","1. upup不能保存，为不可能输入
2. %upup%可以保存，但使得文章无法正常查看，为恶意输入
",通过,岳哲伟,2018/12/21,0000-00-00
11593,WordPress(#13),探索式测试-岳哲伟(#364),（反叛测试法）测试阅读中的阅读设置,成功登陆，打开设置一栏,"1. 将阅读设置中的博客页面至多显示设置为2147483647，同样将Feed中显示最近也设置为2147483647
2. 将阅读设置中的博客页面至多显示设置为0，同样将Feed中显示最近也设置为0
","1. 
2. 
",通过,岳哲伟,2018/12/21,0000-00-00
11592,WordPress(#13),探索式测试-岳哲伟(#364),（恶邻测试法）测试讨论中的评论黑名单,成功登陆，打开设置一栏,"1. 在评论黑名单中填入测试一词
2. 打开世界，你好文章，评论一句测试
","1. 无法评论，评论移入回收站
2. 
",失败,岳哲伟,2018/12/21,0000-00-00
11591,WordPress(#13),探索式测试-岳哲伟(#364),（深夜测试法）测试设置中关闭了网页后继续执行的命令,成功登陆，打开设置一栏,"1. 打开设置中的讨论，设置自动关闭发布10天后文章上的评论功能
","1. 即使网页不打开，系统也会在十天的时候自动工作，关闭评论功能
",通过,岳哲伟,2018/12/21,0000-00-00
11590,WordPress(#13),探索式测试-岳哲伟(#364),（地标测试法）测试设置中的固定链接,成功登陆，打开设置一栏,"1. 固定链接中的自定义结构——文章的查看
","1. 自定义的不合法结构能够保存，但使得文章无法显示
",通过,岳哲伟,2018/12/21,0000-00-00
11589,WordPress(#13),探索式测试-岳哲伟(#364),(指南测试法）测试设置中常规的设置,成功登陆，打开设置一栏,"1. 站点标题输入upupup
2. 副标题输入wordpress
3. 电子邮件地址输入1084170857@qq.com点击保存
","1. 成功保存
2. 
3. 
",通过,岳哲伟,2018/12/21,0000-00-00
11588,WordPress(#13),探索式测试-卢丹琦(#360),运用地标测试法对写文章模块进行测试,选取的地标为：添加标题区块、添加内容区块、设置按钮、文档设置、区块设置、更多工具按钮、添加区块按钮、撤销按钮、重做按钮,"1. 添加标题区块——添加内容区块——设置按钮——文档设置——区块设置——更多工具按钮——添加区块按钮——撤销按钮——重做按钮
2. 设置按钮——文档设置——区块设置——添加标题区块——添加内容区块——更多工具按钮——添加区块按钮——撤销按钮——重做按钮
3. 更多工具按钮——添加区块按钮——撤销按钮——重做按钮——添加标题区块——添加内容区块——设置按钮——文档设置——区块设置
4. 添加区块按钮——撤销按钮——重做按钮——添加标题区块——添加内容区块——设置按钮——文档设置——区块设置——更多工具按钮
5. 添加内容区块——设置按钮——文档设置——区块设置——更多工具按钮——添加标题区块——添加区块按钮——撤销按钮——重做按钮
","1. 
2. 
3. 
4. 
5. 
",失败,卢丹琦,2018/12/20,2018/12/20
